,precision,recall,f1-score,support
0,0.9872730675650384,0.983224603914259,0.9852446768771013,10730.0
1,0.8661710037174721,0.8954650269023828,0.8805744520030235,1301.0
accuracy,0.9737345191588397,0.9737345191588397,0.9737345191588397,0.9737345191588397
macro avg,0.9267220356412553,0.9393448154083209,0.9329095644400625,12031.0
weighted avg,0.9741774159096744,0.9737345191588397,0.9739259201186294,12031.0
